id_2024,id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
141404,,,Extremely conservative,0.0,100.0,Yes,2024
141777,,,Slightly conservative,60.0,0.0,Yes,2024
365029,,,Extremely Liberal,,,No,2024
237087,,,DK,,,,2024
352166,,,Extremely Liberal,85.0,0.0,No,2024
216150,,,DK,,,,2024
207361,,,Moderate,60.0,70.0,Yes,2024
141325,,,Liberal,70.0,0.0,Yes,2024
200860,,,Liberal,50.0,15.0,No,2024
319800,,,Extremely conservative,15.0,85.0,No,2024
215611,,,DK,,,,2024
321471,,,Moderate,30.0,80.0,No,2024
236496,,,Conservative,0.0,85.0,Yes,2024
333718,,,Slightly conservative,30.0,60.0,No,2024
371192,,,Liberal,70.0,0.0,Yes,2024
399764,,,Moderate,,,,2024
140692,,,Slightly liberal,80.0,0.0,Yes,2024
344488,,,Slightly liberal,70.0,15.0,Yes,2024
141598,,,Conservative,15.0,85.0,No,2024
335788,,,DK,100.0,0.0,No,2024
228309,,,Conservative,15.0,85.0,No,2024
343797,,,Slightly liberal,0.0,100.0,Yes,2024
227121,,,Conservative,0.0,90.0,Yes,2024
141808,,,Slightly liberal,100.0,0.0,Yes,2024
317590,,,Moderate,40.0,70.0,Yes,2024
205695,,,Moderate,60.0,15.0,Yes,2024
142283,,,Liberal,90.0,0.0,Yes,2024
239870,,,Liberal,60.0,0.0,Yes,2024
141305,,,Liberal,100.0,0.0,Yes,2024
140930,,,DK,70.0,60.0,Yes,2024
141166,,,Moderate,,30.0,Yes,2024
141432,,,Conservative,0.0,40.0,Yes,2024
140221,,,Conservative,0.0,100.0,No,2024
141790,,,Slightly liberal,85.0,0.0,Yes,2024
331834,,,DK,50.0,15.0,No,2024
225290,,,DK,,,,2024
210039,,,Moderate,,,,2024
205296,,,Conservative,,,,2024
234696,,,DK,15.0,60.0,No,2024
204256,,,DK,100.0,0.0,,2024
229701,,,DK,0.0,50.0,No,2024
140432,,,Moderate,100.0,0.0,Yes,2024
387027,,,Liberal,85.0,0.0,Yes,2024
230186,,,Extremely conservative,,,,2024
142546,,,Slightly conservative,30.0,85.0,Yes,2024
222951,,,Slightly liberal,60.0,70.0,Yes,2024
368346,,,Slightly conservative,12.0,60.0,Yes,2024
216593,,,Slightly conservative,0.0,85.0,Yes,2024
140891,,,DK,0.0,100.0,,2024
141430,,,Conservative,0.0,100.0,No,2024
368110,,,DK,60.0,30.0,No,2024
140407,,,Conservative,0.0,100.0,Yes,2024
204941,,,Extremely conservative,15.0,80.0,Yes,2024
140881,,,Slightly liberal,100.0,0.0,No,2024
140561,,,Conservative,0.0,100.0,Yes,2024
216852,,,Slightly conservative,40.0,60.0,Yes,2024
141083,,,Extremely conservative,0.0,100.0,Yes,2024
213875,,,DK,100.0,0.0,Yes,2024
