id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
201438,,Conservative,0.0,85.0,Yes,2020
529105,,Moderate,100.0,0.0,Yes,2020
452663,,DK,0.0,100.0,No,2020
207245,,Slightly liberal,70.0,0.0,Yes,2020
356789,,Liberal,90.0,0.0,Yes,2020
231071,,Extremely conservative,0.0,100.0,Yes,2020
236120,,Slightly liberal,100.0,0.0,Yes,2020
320636,,Slightly liberal,85.0,0.0,Yes,2020
520016,,Conservative,0.0,70.0,No,2020
509163,,Slightly liberal,85.0,0.0,Yes,2020
431277,,Moderate,85.0,15.0,No,2020
451646,,DK,,,,2020
217792,,Conservative,45.0,60.0,Yes,2020
400242,,Slightly liberal,,,,2020
318848,,Moderate,70.0,0.0,Yes,2020
419871,,Liberal,85.0,0.0,Yes,2020
230894,,Liberal,85.0,0.0,Yes,2020
222046,,Extremely conservative,0.0,100.0,Yes,2020
525004,,Liberal,0.0,100.0,Yes,2020
522296,,Liberal,70.0,15.0,Yes,2020
421584,,Moderate,40.0,15.0,Yes,2020
449971,,Extremely Liberal,70.0,0.0,Yes,2020
208781,,Slightly conservative,85.0,0.0,Yes,2020
345475,,Liberal,75.0,0.0,Yes,2020
328777,,Moderate,65.0,65.0,Yes,2020
314785,,Conservative,,,,2020
319391,,Extremely Liberal,85.0,0.0,Yes,2020
501619,,DK,,,,2020
203700,,Conservative,0.0,85.0,Yes,2020
223728,,Moderate,70.0,15.0,Yes,2020
431789,,Liberal,30.0,0.0,Yes,2020
206303,,Slightly liberal,60.0,0.0,Yes,2020
325235,,Moderate,70.0,30.0,Yes,2020
418250,,Moderate,70.0,0.0,Yes,2020
201759,,Liberal,60.0,0.0,Yes,2020
326672,,Liberal,100.0,0.0,Yes,2020
462974,,Extremely conservative,20.0,100.0,No,2020
214854,,Conservative,40.0,85.0,Yes,2020
219781,,Extremely conservative,0.0,100.0,Yes,2020
234773,,Moderate,70.0,0.0,Yes,2020
350323,,Conservative,60.0,85.0,No,2020
360757,,Moderate,,,,2020
233459,,Conservative,37.0,32.0,Yes,2020
428783,,Extremely conservative,0.0,85.0,Yes,2020
234940,,Slightly liberal,50.0,50.0,No,2020
207542,,Slightly liberal,0.0,100.0,Yes,2020
203175,,Slightly liberal,,,,2020
223995,,Liberal,100.0,0.0,Yes,2020
202752,,Liberal,60.0,0.0,No,2020
531221,,Conservative,0.0,70.0,Yes,2020
236397,,Moderate,85.0,5.0,Yes,2020
360832,,Liberal,,,,2020
515311,,Moderate,70.0,15.0,Yes,2020
423665,,Liberal,60.0,0.0,Yes,2020
344014,,Liberal,85.0,10.0,Yes,2020
331032,,Moderate,85.0,85.0,Yes,2020
327101,,Liberal,85.0,0.0,No,2020
411051,,Moderate,60.0,40.0,No,2020
312604,,Moderate,50.0,40.0,Yes,2020
517379,,Liberal,98.0,0.0,Yes,2020
419208,,DK,90.0,0.0,Yes,2020
420673,,Moderate,50.0,50.0,Yes,2020
439417,,Conservative,0.0,100.0,Yes,2020
306777,,Extremely Liberal,85.0,0.0,Yes,2020
519696,,Liberal,80.0,0.0,Yes,2020
442918,,Moderate,70.0,0.0,Yes,2020
229924,,Conservative,15.0,100.0,Yes,2020
216331,,Extremely Liberal,80.0,0.0,Yes,2020
233220,,Conservative,0.0,100.0,Yes,2020
234179,,Liberal,63.0,0.0,Yes,2020
332004,,DK,50.0,70.0,Yes,2020
409089,,Moderate,0.0,100.0,Yes,2020
235042,,Slightly liberal,85.0,15.0,No,2020
457118,,Liberal,70.0,0.0,Yes,2020
430748,,DK,90.0,0.0,Yes,2020
348924,,Liberal,100.0,0.0,No,2020
417066,,Refused,,85.0,No,2020
209180,,DK,100.0,0.0,Yes,2020
343288,,Liberal,85.0,0.0,Yes,2020
214540,,Moderate,40.0,70.0,Yes,2020
327071,,Slightly liberal,100.0,,Yes,2020
347686,,Conservative,0.0,100.0,Yes,2020
307190,,DK,70.0,16.0,Yes,2020
318718,,Moderate,30.0,50.0,No,2020
202769,,Moderate,85.0,30.0,Yes,2020
511319,,Slightly conservative,,,,2020
226543,,DK,50.0,0.0,No,2020
224134,,Slightly conservative,40.0,60.0,No,2020
323352,,Slightly liberal,90.0,0.0,Yes,2020
332769,,Liberal,,,,2020
212223,,Moderate,0.0,100.0,Yes,2020
231774,,Liberal,95.0,0.0,Yes,2020
207184,,Slightly conservative,0.0,100.0,No,2020
211343,,Moderate,85.0,0.0,Yes,2020
422365,,Moderate,,,,2020
357393,,Moderate,85.0,15.0,Yes,2020
357430,,Slightly conservative,40.0,40.0,Yes,2020
357669,,Liberal,85.0,15.0,Yes,2020
311373,,Conservative,50.0,70.0,Yes,2020
307015,,Slightly conservative,0.0,85.0,No,2020
218474,,Slightly conservative,40.0,60.0,Yes,2020
348283,,Liberal,85.0,0.0,Yes,2020
424347,,DK,0.0,100.0,No,2020
515793,,Slightly conservative,100.0,0.0,No,2020
225403,,Slightly conservative,,,,2020
350194,,Slightly liberal,70.0,5.0,Yes,2020
217839,,Liberal,100.0,0.0,Yes,2020
232517,,Slightly conservative,60.0,70.0,No,2020
349316,,Liberal,70.0,0.0,Yes,2020
212490,,DK,100.0,15.0,Yes,2020
228020,,Liberal,90.0,15.0,Yes,2020
447609,,Conservative,,,,2020
307251,,DK,75.0,25.0,Yes,2020
505338,,Slightly conservative,,,,2020
417370,,Moderate,85.0,15.0,No,2020
235523,,Conservative,0.0,100.0,Yes,2020
357874,,Moderate,60.0,0.0,Yes,2020
210739,,Moderate,90.0,0.0,Yes,2020
421454,,Slightly liberal,85.0,0.0,No,2020
440981,,Moderate,100.0,0.0,Yes,2020
408741,,Liberal,10.0,0.0,Yes,2020
304603,,Conservative,0.0,100.0,Yes,2020
202042,,Liberal,85.0,0.0,Yes,2020
362838,,Slightly conservative,60.0,85.0,Yes,2020
460213,,DK,100.0,0.0,No,2020
307831,,Conservative,70.0,0.0,Yes,2020
412573,,Moderate,85.0,0.0,Yes,2020
465171,,DK,60.0,25.0,Yes,2020
355557,,Liberal,90.0,0.0,Yes,2020
322564,,DK,,,,2020
329992,,Moderate,70.0,40.0,Yes,2020
340579,,Extremely Liberal,,,,2020
218856,,Extremely conservative,20.0,70.0,Yes,2020
234360,,Moderate,30.0,85.0,Yes,2020
349941,,Slightly liberal,100.0,0.0,Yes,2020
339364,,DK,85.0,0.0,Yes,2020
326177,,Moderate,60.0,30.0,Yes,2020
516802,,Slightly conservative,95.0,5.0,No,2020
418915,,DK,70.0,0.0,Yes,2020
527888,,Moderate,100.0,1.0,Yes,2020
340517,,Slightly conservative,10.0,90.0,Yes,2020
323253,,DK,15.0,0.0,No,2020
365066,,DK,70.0,0.0,Yes,2020
521859,,Slightly liberal,45.0,55.0,Yes,2020
528829,,Extremely conservative,0.0,1.0,Yes,2020
449254,,Moderate,,,,2020
415183,,Slightly conservative,,,,2020
349408,,Liberal,100.0,0.0,Yes,2020
227690,,Conservative,0.0,90.0,Yes,2020
328555,,Extremely conservative,,,,2020
226727,,Conservative,5.0,90.0,Yes,2020
364926,,Slightly conservative,,,,2020
433785,,Conservative,50.0,50.0,Yes,2020
229283,,Liberal,100.0,0.0,Yes,2020
233435,,Moderate,85.0,0.0,Yes,2020
418496,,Moderate,60.0,1.0,Yes,2020
500579,,Moderate,100.0,0.0,Yes,2020
310899,,Liberal,85.0,0.0,No,2020
330787,,Slightly conservative,60.0,0.0,Yes,2020
413538,,Liberal,50.0,0.0,Yes,2020
304986,,Liberal,70.0,0.0,Yes,2020
205775,,Conservative,30.0,60.0,Yes,2020
215017,,Slightly liberal,100.0,0.0,Yes,2020
217617,,Liberal,85.0,0.0,Yes,2020
204475,,Liberal,100.0,0.0,Yes,2020
427773,,Moderate,,,,2020
418175,,Liberal,70.0,0.0,Yes,2020
518211,,Slightly liberal,20.0,5.0,Yes,2020
334611,,Extremely conservative,,,,2020
213288,,DK,85.0,0.0,No,2020
208385,,Liberal,70.0,0.0,Yes,2020
435125,,Liberal,85.0,0.0,Yes,2020
307640,,Slightly liberal,60.0,0.0,Yes,2020
311496,,DK,,,,2020
320278,,Slightly conservative,0.0,85.0,Yes,2020
226611,,Slightly liberal,95.0,0.0,Yes,2020
301659,,Moderate,80.0,0.0,Yes,2020
312246,,Moderate,0.0,30.0,Yes,2020
224950,,DK,25.0,90.0,Yes,2020
425920,,Slightly conservative,,,,2020
