video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count,title
AC6u5Y0Ugp0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-26T18:00:18Z,2025,12,688281,1193,723,Biblical Idolatry & The Role of Moses w/ Jordan B. Peterson
r4Cig58bsr8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-19T18:01:08Z,2025,12,822237,17094,12915,TPUSA Speech: Truth Over Cowardice and Grifting
Cfl153r3g3w,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-18T18:00:23Z,2025,12,637725,4134,1456,So About Trump's Speech Last Night...
CU6ON6aUrn0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-15T18:18:00Z,2025,12,765979,8743,3606,MASSACRE: 15 Plus Killed in Islamist Hanukkah Attack in Australia
BheW_ESM8UQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-05T18:00:15Z,2025,12,688198,6667,1222,"What Did Ilhan Omar Know, and When Did She Know It?!"
PGtFTXj6kZc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-21T18:39:34Z,2025,11,649335,3894,1355,What The HELL Is Going On With The Economy?!
R5qWmHn7SUY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-18T18:00:36Z,2025,11,679184,5082,2110,The Bannon-Epstein Connection REVEALED!
P3cBbwd6Dos,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-05T20:00:17Z,2025,11,722700,9299,3760,The New York EVACUATION Begins
FwzyDJij_w4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-04T18:00:28Z,2025,11,712523,6372,2983,New York Voters Walk Off Cliff
OaRJlL5mOF8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-03T14:02:09Z,2025,11,1086625,41578,41290,Tucker Carlson Sabotages America
3Kp1g0BsFeU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-18T19:00:04Z,2025,10,1799712,64762,2321,This does not define the value of human life
OiwQ1aYVL28,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-13T18:24:16Z,2025,10,994340,14314,1702,What Trump Promised — What We Got
4AchHeRACOQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-09T22:00:05Z,2025,10,1232749,21840,810,The Democratic bench for 2028 is looking pretty rough...
R9X4gBCJXEo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-09T15:01:22Z,2025,10,881893,7058,1437,"THE PEACE PRESIDENT: Trump Brokers Israel-Hamas HOSTAGE RELEASE, Ceasefire"
Ro6eULMt-ns,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-01T17:00:45Z,2025,10,891936,8544,1345,GOVERNMENT SHUTDOWN: VP JD Vance Stops By To Discuss
sX05856oX18,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-15T17:37:15Z,2025,9,938252,23316,5888,"Kirk’s Shooter Had TRANS Boyfriend, Far-Left Views"
VKmPdHcF8Nw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-12T16:15:34Z,2025,9,986312,34222,4832,BREAKING: CHARLIE KIRK ASSASSIN IN CUSTODY
2X7FMBpg7fs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-11T17:40:00Z,2025,9,1532134,75332,14401,"UNTHINKABLE: Charlie Kirk, 31, Assassinated"
xe1GTAq8WDY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-10T23:13:31Z,2025,9,2516935,83452,7758,Live Breaking News: Charlie Kirk Assassinated at 31
6yFFyM7niss,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-09T21:00:15Z,2025,9,1167149,22092,8125,Abortion Debate on 'The Breakfast Club' Gets Heated
IDF5-IPl9e0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-30T22:00:15Z,2025,8,1071754,42021,920,Denzel Washington calls out 'cancel culture'
zapkO94MG98,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-25T22:01:09Z,2025,8,634691,21221,742,Snoop Dogg called out Disney’s WOKENESS
ZIZc3oS8jP4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-19T19:00:28Z,2025,8,1329409,51273,1485,Tom Cruise outsmarted EVERY studio during COVID
qLWYJHZh9IU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-15T01:00:50Z,2025,8,3557692,97799,4123,Ben ended this argument with pure LOGIC
-ZbHfIbXVjk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-06T22:00:00Z,2025,8,581168,11477,270,When Trump taught Trudeau a brutal lesson😂
1dYlzcb7Pes,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-07-29T01:00:04Z,2025,7,3281884,42795,1259,'Cardi B' is still more offensive than this...
2xaI8OSURRk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-07-27T19:00:06Z,2025,7,719191,22725,220,DOLPHINS in TEXAS?! …wait for it 😂
PNCtSfME3K8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-07-22T19:00:21Z,2025,7,4628840,122794,1506,Ben proves he's not lying about his height😂
5LhXv8F_iYw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-07-18T19:00:09Z,2025,7,1214665,16470,718,Never thought that I'd be asked this 😂
O8iQC6cfEB8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-07-10T01:00:32Z,2025,7,851926,18157,495,Does 'Robin Hood' promote socialism?
wiPjkQfMbIY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-22T22:41:09Z,2025,6,652674,25099,4325,BREAKING: Trump DESTROYS Iranian Nuclear Program!
y4FrpFHZzpY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-21T14:01:33Z,2025,6,1045266,29534,1105,Ben Shapiro Reacts to Unwoke Comedians
OaxpwCZAmJk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-15T15:00:37Z,2025,6,642848,21303,3613,Ben Shapiro Reacts To Woke TikToks: ICE Raid Edition | Part 1
sLkvaeu7yiU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-13T03:04:46Z,2025,6,480248,15181,2158,Breaking News: Israel Hits Iran with Targeted Airstrikes
2vjnGeIDIfc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-06-05T22:16:12Z,2025,6,1204207,37088,7669,Ben Shapiro Reacts | Trump vs Elon: What The Hell Is Going On?
