video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count
AC6u5Y0Ugp0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-26T18:00:18Z,2025,12,688281,1193,723
r4Cig58bsr8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-19T18:01:08Z,2025,12,822237,17094,12915
CU6ON6aUrn0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-15T18:18:00Z,2025,12,765979,8743,3606
P3cBbwd6Dos,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-05T20:00:17Z,2025,11,722700,9299,3760
FwzyDJij_w4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-04T18:00:28Z,2025,11,712523,6372,2983
OaRJlL5mOF8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-03T14:02:09Z,2025,11,1086625,41578,41290
3Kp1g0BsFeU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-18T19:00:04Z,2025,10,1799712,64762,2321
OiwQ1aYVL28,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-13T18:24:16Z,2025,10,994340,14314,1702
4AchHeRACOQ,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-10-09T22:00:05Z,2025,10,1232749,21840,810
2X7FMBpg7fs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-11T17:40:00Z,2025,9,1532134,75332,14401
xe1GTAq8WDY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-10T23:13:31Z,2025,9,2516935,83452,7758
6yFFyM7niss,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-09-09T21:00:15Z,2025,9,1167149,22092,8125
IDF5-IPl9e0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-30T22:00:15Z,2025,8,1071754,42021,920
ZIZc3oS8jP4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-08-19T19:00:28Z,2025,8,1329409,51273,1485
