video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count
cXSaG9rvDhY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-31T20:18:03Z,2025,12,100192,2902,146
vB4lecMG8hY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-31T17:49:00Z,2025,12,62289,2959,759
I1Cqub0iuxU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-30T21:59:48Z,2025,12,75017,2961,148
Fm7Niep35FM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-30T18:50:43Z,2025,12,46551,1417,80
pruCuydnLhw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-30T15:01:41Z,2025,12,66173,3024,690
l2q8-VP_IYw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-29T15:01:33Z,2025,12,98368,3519,1386
J_-aTkvYRuE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-27T15:00:38Z,2025,12,125530,5674,1264
AC6u5Y0Ugp0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-26T18:00:18Z,2025,12,688281,1193,723
BBPEukxJszk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-25T00:00:16Z,2025,12,116933,3567,286
L8p5fh6pBWc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-24T18:00:24Z,2025,12,48178,2375,876
ci7s8jsFxv4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-23T21:00:52Z,2025,12,62772,2054,386
RVjMUPoatW8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-23T18:00:26Z,2025,12,28125,1333,733
abQ8LBLuiew,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-23T17:21:46Z,2025,12,84436,2944,231
618v1EZAlV8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-23T00:58:30Z,2025,12,48757,1031,171
a2DSLyjlDsc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-22T19:01:45Z,2025,12,53224,1391,103
